DMSO-1	DMSO-2	RocA-003	RocA-03	RocA-3
ENST00000620094	ENST00000238831	ENST00000261674	ENST00000315082	ENST00000409682
ENST00000217315	ENST00000367602	ENST00000409587	ENST00000305626	ENST00000221922
ENST00000409850	ENST00000606505	ENST00000395808	ENST00000323701	ENST00000357260
ENST00000392647	ENST00000382103	ENST00000373912	ENST00000217971	ENST00000251496
ENST00000265044	ENST00000357814	ENST00000272433	ENST00000330423	ENST00000336086
ENST00000231572	ENST00000611266	ENST00000440859	ENST00000518219	ENST00000392872
ENST00000264718	ENST00000372733	ENST00000371696	ENST00000267205	ENST00000264198
ENST00000602009	ENST00000526991	ENST00000396389	ENST00000545797	ENST00000366928
ENST00000382252	ENST00000376423	ENST00000382291	ENST00000504771	ENST00000265036
ENST00000264059	ENST00000278823	ENST00000399820	ENST00000229329	ENST00000347662
ENST00000398092	ENST00000332349	ENST00000253031	ENST00000545712	ENST00000399423
ENST00000219281	ENST00000357949	ENST00000416283	ENST00000320316	ENST00000229795
ENST00000396420	ENST00000592574	ENST00000307658	ENST00000580018	ENST00000356657
ENST00000261844	ENST00000300087	ENST00000454682	ENST00000372577	ENST00000247182
ENST00000370996	ENST00000524558	ENST00000198767	ENST00000372394	ENST00000359308
ENST00000392332	ENST00000264335	ENST00000284719	ENST00000372524	ENST00000368521
ENST00000614775	ENST00000316355	ENST00000262662	ENST00000338728	ENST00000492933
ENST00000394282	ENST00000263125	ENST00000409085	ENST00000279101	ENST00000271277
ENST00000229633	ENST00000566780	ENST00000382751	ENST00000375766	ENST00000579849
ENST00000262094	ENST00000637978	ENST00000355476	ENST00000262139	ENST00000216420
ENST00000204961	ENST00000542639	ENST00000366812	ENST00000379565	ENST00000374294
ENST00000378954	ENST00000517736	ENST00000216259	ENST00000376887	ENST00000315082
ENST00000417647	ENST00000261596	ENST00000622277	ENST00000336294	ENST00000305626
ENST00000317147	ENST00000374980	ENST00000255108	ENST00000381627	ENST00000323701
ENST00000352689	ENST00000311008	ENST00000315691	ENST00000433060	ENST00000217971
ENST00000378888	ENST00000512454	ENST00000337827	ENST00000180173	ENST00000330423
ENST00000458537	ENST00000331200	ENST00000371384	ENST00000261479	ENST00000518219
ENST00000568733	ENST00000393045	ENST00000339594	ENST00000370454	ENST00000545797
ENST00000303694	ENST00000524413	ENST00000392102	ENST00000591504	ENST00000221462
ENST00000551116	ENST00000305135	ENST00000199389	ENST00000299767	ENST00000504771
ENST00000371627	ENST00000621355	ENST00000356208	ENST00000358389	ENST00000229329
ENST00000406818	ENST00000216392	ENST00000442396	ENST00000266025	ENST00000545712
ENST00000287218	ENST00000620094	ENST00000293328	ENST00000367440	ENST00000320316
ENST00000371586	ENST00000217315	ENST00000383811	ENST00000468695	ENST00000580018
ENST00000296468	ENST00000394283	ENST00000296591	ENST00000638617	ENST00000372577
ENST00000295704	ENST00000409850	ENST00000312637	ENST00000206474	ENST00000372394
ENST00000281141	ENST00000392647	ENST00000613416	ENST00000395609	ENST00000372524
ENST00000314994	ENST00000265044	ENST00000490491	ENST00000523821	ENST00000338728
ENST00000282077	ENST00000231572	ENST00000291442	ENST00000406360	ENST00000279101
ENST00000379612	ENST00000264718	ENST00000248633	ENST00000369847	ENST00000379565
ENST00000370489	ENST00000602009	ENST00000435765	ENST00000341376	ENST00000376887
ENST00000300605	ENST00000382252	ENST00000371477	ENST00000375749	ENST00000336294
ENST00000228495	ENST00000264059	ENST00000361937	ENST00000397238	ENST00000381627
ENST00000528372	ENST00000398092	ENST00000614445	ENST00000333781	ENST00000433060
ENST00000366957	ENST00000219281	ENST00000322157	ENST00000310864	ENST00000180173
ENST00000538204	ENST00000396420	ENST00000238146	ENST00000329319	ENST00000261479
ENST00000349048	ENST00000370996	ENST00000373510	ENST00000229179	ENST00000370454
ENST00000260443	ENST00000614775	ENST00000422031	ENST00000437941	ENST00000299767
ENST00000368097	ENST00000392332	ENST00000340042	ENST00000343938	ENST00000358389
ENST00000447869	ENST00000270357	ENST00000613434	ENST00000342449	ENST00000266025
ENST00000302450	ENST00000394282	ENST00000370509	ENST00000457780	ENST00000367440
ENST00000301061	ENST00000229633	ENST00000332674	ENST00000443700	ENST00000468695
ENST00000376560	ENST00000204961	ENST00000242839	ENST00000314529	ENST00000638617
ENST00000418109	ENST00000378954	ENST00000585809	ENST00000329886	ENST00000206474
ENST00000399022	ENST00000417647	ENST00000353442	ENST00000457408	ENST00000395609
ENST00000302764	ENST00000317147	ENST00000394166	ENST00000311936	ENST00000613183
ENST00000402673	ENST00000352689	ENST00000396779	ENST00000611786	ENST00000523821
ENST00000359653	ENST00000378888	ENST00000377793	ENST00000340384	ENST00000369847
ENST00000354775	ENST00000458537	ENST00000467963	ENST00000366641	ENST00000281708
ENST00000622530	ENST00000568733	ENST00000422660	ENST00000530909	ENST00000341376
ENST00000559447	ENST00000303694	ENST00000290354	ENST00000403716	ENST00000375749
ENST00000379339	ENST00000551116	ENST00000559199	ENST00000217652	ENST00000397238
ENST00000368352	ENST00000371627	ENST00000309235	ENST00000330634	ENST00000333781
ENST00000043402	ENST00000406818	ENST00000372073	ENST00000486715	ENST00000310864
ENST00000447274	ENST00000287218	ENST00000550600	ENST00000375446	ENST00000329319
ENST00000369063	ENST00000371586	ENST00000359373	ENST00000378565	ENST00000229179
ENST00000373555	ENST00000296468	ENST00000327134	ENST00000507489	ENST00000437941
ENST00000344095	ENST00000517894	ENST00000317578	ENST00000622395	ENST00000296657
ENST00000306318	ENST00000295704	ENST00000377227	ENST00000520121	ENST00000343938
ENST00000255977	ENST00000281141	ENST00000330687	ENST00000395957	ENST00000342449
ENST00000372172	ENST00000314994	ENST00000570319	ENST00000263168	ENST00000457780
ENST00000308197	ENST00000282077	ENST00000297792	ENST00000580729	ENST00000443700
ENST00000263563	ENST00000370489	ENST00000303210	ENST00000565263	ENST00000314529
ENST00000591834	ENST00000300605	ENST00000354582	ENST00000373615	ENST00000329886
ENST00000303334	ENST00000228495	ENST00000406625	ENST00000455200	ENST00000457408
ENST00000407426	ENST00000528372	ENST00000328195	ENST00000329271	ENST00000219481
ENST00000261837	ENST00000366957	ENST00000323482	ENST00000610020	ENST00000311936
ENST00000356955	ENST00000538204	ENST00000291634	ENST00000341657	ENST00000611786
ENST00000281419	ENST00000349048	ENST00000295809	ENST00000157812	ENST00000340384
ENST00000431561	ENST00000260443	ENST00000291565	ENST00000439308	ENST00000256996
ENST00000399598	ENST00000368097	ENST00000451682	ENST00000156109	ENST00000366641
ENST00000308742	ENST00000447869	ENST00000229922	ENST00000400259	ENST00000530909
ENST00000374379	ENST00000302450	ENST00000486685	ENST00000372771	ENST00000403716
ENST00000221233	ENST00000301061	ENST00000261483	ENST00000218224	ENST00000217652
ENST00000265734	ENST00000376560	ENST00000555003	ENST00000358273	ENST00000330634
ENST00000317040	ENST00000418109	ENST00000319006	ENST00000300571	ENST00000486715
ENST00000284202	ENST00000222139	ENST00000264639	ENST00000415050	ENST00000375446
ENST00000283629	ENST00000302764	ENST00000351217	ENST00000616395	ENST00000378565
ENST00000336219	ENST00000402673	ENST00000267202	ENST00000426077	ENST00000507489
ENST00000408011	ENST00000399022	ENST00000215793	ENST00000314144	ENST00000622395
ENST00000328089	ENST00000359653	ENST00000296921	ENST00000258436	ENST00000520121
ENST00000457167	ENST00000354775	ENST00000205194	ENST00000297205	ENST00000395957
ENST00000311806	ENST00000622530	ENST00000396516	ENST00000201031	ENST00000263168
ENST00000242776	ENST00000559447	ENST00000480687	ENST00000359204	ENST00000580729
ENST00000616317	ENST00000379339	ENST00000300811	ENST00000260359	ENST00000222120
ENST00000361740	ENST00000368352	ENST00000292524	ENST00000298355	ENST00000565263
ENST00000397149	ENST00000377142	ENST00000307126	ENST00000394126	ENST00000455200
ENST00000512132	ENST00000043402	ENST00000329734	ENST00000394894	ENST00000329271
ENST00000373670	ENST00000447274	ENST00000368003	ENST00000407627	ENST00000610020
ENST00000354232	ENST00000369063	ENST00000489671	ENST00000576183	ENST00000341657
ENST00000357325	ENST00000373555	ENST00000504811	ENST00000254759	ENST00000157812
ENST00000428202	ENST00000344095	ENST00000373281	ENST00000238497	ENST00000439308
ENST00000260600	ENST00000255977	ENST00000396496	ENST00000373953	ENST00000156109
ENST00000383820	ENST00000372172	ENST00000375377	ENST00000412278	ENST00000400259
ENST00000374994	ENST00000308197	ENST00000403714	ENST00000228799	ENST00000372771
ENST00000230538	ENST00000263563	ENST00000372970	ENST00000306875	ENST00000218224
ENST00000296577	ENST00000591834	ENST00000005340	ENST00000527614	ENST00000358273
ENST00000361567	ENST00000303334	ENST00000334955	ENST00000366672	ENST00000300571
ENST00000543950	ENST00000407426	ENST00000494664	ENST00000614461	ENST00000415050
ENST00000399034	ENST00000261837	ENST00000316738	ENST00000508789	ENST00000616395
ENST00000361681	ENST00000356955	ENST00000404141	ENST00000381334	ENST00000426077
ENST00000373823	ENST00000281419	ENST00000298912	ENST00000491935	ENST00000258436
ENST00000285106	ENST00000431561	ENST00000301030	ENST00000260276	ENST00000201031
ENST00000366926	ENST00000399598	ENST00000616144	ENST00000307227	ENST00000359204
ENST00000381750	ENST00000308742	ENST00000409257	ENST00000439705	ENST00000260359
ENST00000530457	ENST00000374379	ENST00000372435	ENST00000380815	ENST00000298355
ENST00000513482	ENST00000221233	ENST00000520509	ENST00000378037	ENST00000394126
ENST00000428443	ENST00000265734	ENST00000327681	ENST00000376075	ENST00000394894
ENST00000231887	ENST00000317040	ENST00000262487	ENST00000373045	ENST00000407627
ENST00000231238	ENST00000284202	ENST00000261407	ENST00000292579	ENST00000576183
ENST00000375533	ENST00000283629	ENST00000543095	ENST00000540509	ENST00000254759
ENST00000611852	ENST00000336219	ENST00000350997	ENST00000393359	ENST00000238497
ENST00000288699	ENST00000408011	ENST00000584031	ENST00000392769	ENST00000373953
ENST00000215375	ENST00000328089	ENST00000397389	ENST00000259467	ENST00000412278
ENST00000613694	ENST00000457167	ENST00000409931	ENST00000375151	ENST00000228799
ENST00000368173	ENST00000311806	ENST00000271375	ENST00000256682	ENST00000306875
ENST00000354698	ENST00000242776	ENST00000220809	ENST00000535724	ENST00000527614
ENST00000300896	ENST00000616317	ENST00000638807	ENST00000338641	ENST00000366672
ENST00000341164	ENST00000361740	ENST00000359315	ENST00000313601	ENST00000614461
ENST00000440756	ENST00000397149	ENST00000281273	ENST00000264827	ENST00000508789
ENST00000337682	ENST00000512132	ENST00000570628	ENST00000367265	ENST00000381334
ENST00000425534	ENST00000373670	ENST00000264020	ENST00000337002	ENST00000491935
ENST00000333003	ENST00000354232	ENST00000262962	ENST00000296522	ENST00000260276
ENST00000304177	ENST00000357325	ENST00000583509	ENST00000391702	ENST00000307227
ENST00000251076	ENST00000428202	ENST00000617581	ENST00000394942	ENST00000439705
ENST00000340578	ENST00000260600	ENST00000360110	ENST00000295324	ENST00000380815
ENST00000251250	ENST00000383820	ENST00000541212	ENST00000247970	ENST00000378037
ENST00000274364	ENST00000374994	ENST00000356970	ENST00000436909	ENST00000373045
ENST00000412052	ENST00000293771	ENST00000395198	ENST00000377075	ENST00000292579
ENST00000284767	ENST00000230538	ENST00000314852	ENST00000314191	ENST00000540509
ENST00000264954	ENST00000296577	ENST00000429436	ENST00000282296	ENST00000393359
ENST00000485511	ENST00000361567	ENST00000368332	ENST00000263233	ENST00000392769
ENST00000354764	ENST00000543950	ENST00000392138	ENST00000377047	ENST00000259467
ENST00000300935	ENST00000399034	ENST00000370035	ENST00000381249	ENST00000375151
ENST00000531188	ENST00000361681	ENST00000381209	ENST00000313871	ENST00000256682
ENST00000536441	ENST00000373823	ENST00000235382	ENST00000310078	ENST00000535724
ENST00000399878	ENST00000285106	ENST00000358290	ENST00000243389	ENST00000338641
ENST00000219302	ENST00000366926	ENST00000314622	ENST00000307266	ENST00000311575
ENST00000342624	ENST00000381750	ENST00000273920	ENST00000395511	ENST00000313601
ENST00000389622	ENST00000530457	ENST00000253457	ENST00000380412	ENST00000367265
ENST00000366956	ENST00000513482	ENST00000362042	ENST00000566897	ENST00000337002
ENST00000355431	ENST00000428443	ENST00000404767	ENST00000266085	ENST00000296522
ENST00000361534	ENST00000231887	ENST00000246747	ENST00000451320	ENST00000391702
ENST00000196061	ENST00000231238	ENST00000402844	ENST00000338034	ENST00000394942
ENST00000221486	ENST00000375533	ENST00000304511	ENST00000382936	ENST00000247970
ENST00000532642	ENST00000611852	ENST00000629427	ENST00000230085	ENST00000436909
ENST00000263629	ENST00000288699	ENST00000591680	ENST00000371728	ENST00000377075
ENST00000216951	ENST00000215375	ENST00000378026	ENST00000553001	ENST00000314191
ENST00000280187	ENST00000613694	ENST00000372025	ENST00000521508	ENST00000282296
ENST00000397281	ENST00000368173	ENST00000305364	ENST00000374884	ENST00000263233
ENST00000396212	ENST00000354698	ENST00000359692	ENST00000176763	ENST00000574388
ENST00000314565	ENST00000300896	ENST00000275015	ENST00000370587	ENST00000381249
ENST00000297185	ENST00000341164	ENST00000025008	ENST00000235372	ENST00000313871
ENST00000382554	ENST00000440756	ENST00000281146	ENST00000361927	ENST00000310078
ENST00000262144	ENST00000337682	ENST00000372715	ENST00000398437	ENST00000399138
ENST00000267938	ENST00000425534	ENST00000296933	ENST00000299505	ENST00000243389
ENST00000371691	ENST00000333003	ENST00000260118	ENST00000418543	ENST00000307266
ENST00000431002	ENST00000304177	ENST00000480456	ENST00000369037	ENST00000395511
ENST00000521400	ENST00000251076	ENST00000375003	ENST00000367241	ENST00000380412
ENST00000335251	ENST00000340578	ENST00000256151	ENST00000583313	ENST00000566897
ENST00000355774	ENST00000251250	ENST00000376355	ENST00000369839	ENST00000252229
ENST00000239690	ENST00000274364	ENST00000374900	ENST00000334512	ENST00000266085
ENST00000379406	ENST00000412052	ENST00000389737	ENST00000523277	ENST00000451320
ENST00000448257	ENST00000284767	ENST00000249806	ENST00000397708	ENST00000338034
ENST00000427926	ENST00000264954	ENST00000528572	ENST00000359890	ENST00000382936
ENST00000322354	ENST00000485511	ENST00000360214	ENST00000358812	ENST00000230085
ENST00000536630	ENST00000354764	ENST00000262238	ENST00000261658	ENST00000371728
ENST00000418931	ENST00000300935	ENST00000372067	ENST00000355472	ENST00000553001
ENST00000562787	ENST00000531188	ENST00000258149	ENST00000394805	ENST00000521508
ENST00000369075	ENST00000536441	ENST00000356607	ENST00000534064	ENST00000374884
ENST00000405837	ENST00000399878	ENST00000376327	ENST00000391411	ENST00000446848
ENST00000316308	ENST00000219302	ENST00000455045	ENST00000285947	ENST00000353487
ENST00000612630	ENST00000342624	ENST00000615052	ENST00000445593	ENST00000176763
ENST00000314787	ENST00000389622	ENST00000399302	ENST00000426837	ENST00000370587
ENST00000300714	ENST00000366956	ENST00000264010	ENST00000485727	ENST00000235372
ENST00000621657	ENST00000355431	ENST00000409645	ENST00000307768	ENST00000398437
ENST00000399464	ENST00000361534	ENST00000377411	ENST00000268042	ENST00000436261
ENST00000353047	ENST00000196061	ENST00000330198	ENST00000311502	ENST00000299505
ENST00000406797	ENST00000221486	ENST00000246337	ENST00000332180	ENST00000418543
ENST00000537226	ENST00000532642	ENST00000293829	ENST00000620660	ENST00000369037
ENST00000582783	ENST00000263629	ENST00000220531	ENST00000251900	ENST00000367241
ENST00000399932	ENST00000216951	ENST00000438320	ENST00000428040	ENST00000358038
ENST00000471595	ENST00000280187	ENST00000250113	ENST00000322611	ENST00000583313
ENST00000550785	ENST00000397281	ENST00000377603	ENST00000556492	ENST00000369839
ENST00000324324	ENST00000396212	ENST00000317089	ENST00000216923	ENST00000334512
ENST00000394518	ENST00000314565	ENST00000261377	ENST00000273047	ENST00000523277
ENST00000254765	ENST00000297185	ENST00000320892	ENST00000366991	ENST00000359890
ENST00000490107	ENST00000382554	ENST00000436978	ENST00000216129	ENST00000358812
ENST00000346085	ENST00000262144	ENST00000397938	ENST00000405510	ENST00000397708
ENST00000249014	ENST00000267938	ENST00000356577	ENST00000262482	ENST00000261658
ENST00000296755	ENST00000371691	ENST00000375094	ENST00000358170	ENST00000355472
ENST00000300128	ENST00000431002	ENST00000570054	ENST00000273038	ENST00000394805
ENST00000372596	ENST00000521400	ENST00000228515	ENST00000431802	ENST00000356957
ENST00000615547	ENST00000335251	ENST00000394422	ENST00000278505	ENST00000534064
ENST00000265641	ENST00000355774	ENST00000525621	ENST00000300145	ENST00000391411
ENST00000537606	ENST00000239690	ENST00000252136	ENST00000372309	ENST00000285947
ENST00000334116	ENST00000379406	ENST00000217131	ENST00000265038	ENST00000445593
ENST00000395348	ENST00000448257	ENST00000265909	ENST00000421999	ENST00000426837
ENST00000413379	ENST00000427926	ENST00000333039	ENST00000396137	ENST00000485727
ENST00000498737	ENST00000322354	ENST00000436874	ENST00000635765	ENST00000307768
ENST00000311765	ENST00000536630	ENST00000396652	ENST00000306862	ENST00000268042
ENST00000428771	ENST00000418931	ENST00000349792	ENST00000228820	ENST00000311502
ENST00000319770	ENST00000562787	ENST00000355338	ENST00000397901	ENST00000332180
ENST00000319942	ENST00000369075	ENST00000452248	ENST00000358531	ENST00000620660
ENST00000282516	ENST00000397068	ENST00000543683	ENST00000258821	ENST00000251900
ENST00000369831	ENST00000405837	ENST00000370078	ENST00000262233	ENST00000428040
ENST00000267430	ENST00000316308	ENST00000367287	ENST00000261866	ENST00000403299
ENST00000352766	ENST00000612630	ENST00000368932	ENST00000344862	ENST00000322611
ENST00000452825	ENST00000314787	ENST00000343450	ENST00000295083	ENST00000556492
ENST00000487270	ENST00000300714	ENST00000306193	ENST00000367816	ENST00000216923
ENST00000261491	ENST00000421743	ENST00000503176	ENST00000370873	ENST00000273047
ENST00000369888	ENST00000621657	ENST00000504123	ENST00000335209	ENST00000341567
ENST00000615618	ENST00000399464	ENST00000344096	ENST00000403491	ENST00000366991
ENST00000261674	ENST00000353047	ENST00000261937	ENST00000222574	ENST00000418234
ENST00000409587	ENST00000406797	ENST00000239231	ENST00000367296	ENST00000216129
ENST00000395808	ENST00000537226	ENST00000380527	ENST00000248553	ENST00000405510
ENST00000295754	ENST00000582783	ENST00000368068	ENST00000395310	ENST00000262482
ENST00000373912	ENST00000399932	ENST00000287169	ENST00000367075	ENST00000358170
ENST00000272433	ENST00000471595	ENST00000371521	ENST00000561234	ENST00000273038
ENST00000440859	ENST00000550785	ENST00000332503	ENST00000263733	ENST00000431802
ENST00000371696	ENST00000324324	ENST00000239906	ENST00000310144	ENST00000278505
ENST00000396389	ENST00000394518	ENST00000266742	ENST00000590526	ENST00000300145
ENST00000382291	ENST00000490107	ENST00000260952	ENST00000321556	ENST00000372309
ENST00000399820	ENST00000346085	ENST00000381031	ENST00000371544	ENST00000265038
ENST00000253031	ENST00000249014	ENST00000639401	ENST00000586602	ENST00000421999
ENST00000416283	ENST00000296755	ENST00000272317	ENST00000330149	ENST00000396137
ENST00000307658	ENST00000300128	ENST00000313250	ENST00000261534	ENST00000635765
ENST00000454682	ENST00000372596	ENST00000347077	ENST00000377214	ENST00000306862
ENST00000198767	ENST00000615547	ENST00000356321	ENST00000524725	ENST00000228820
ENST00000284719	ENST00000265641	ENST00000370836	ENST00000406134	ENST00000397901
ENST00000262662	ENST00000537606	ENST00000382518	ENST00000245838	ENST00000358531
ENST00000409085	ENST00000334116	ENST00000286175	ENST00000294724	ENST00000258821
ENST00000335749	ENST00000395348	ENST00000338415	ENST00000266880	ENST00000262233
ENST00000382751	ENST00000413379	ENST00000371369	ENST00000344697	ENST00000261866
ENST00000355476	ENST00000498737	ENST00000460851	ENST00000336458	ENST00000344862
ENST00000366812	ENST00000311765	ENST00000355202	ENST00000277540	ENST00000367816
ENST00000216259	ENST00000428771	ENST00000303391	ENST00000292385	ENST00000370873
ENST00000389887	ENST00000319770	ENST00000230449	ENST00000297157	ENST00000335209
ENST00000622277	ENST00000319942	ENST00000359154	ENST00000303088	ENST00000403491
ENST00000610401	ENST00000282516	ENST00000358780	ENST00000306243	ENST00000222574
ENST00000255108	ENST00000267430	ENST00000614244	ENST00000396602	ENST00000367296
ENST00000315691	ENST00000352766	ENST00000370455	ENST00000216807	ENST00000248553
ENST00000337827	ENST00000452825	ENST00000376901	ENST00000266126	ENST00000395310
ENST00000371384	ENST00000487270	ENST00000271640	ENST00000230419	ENST00000367075
ENST00000339594	ENST00000566936	ENST00000260731	ENST00000334163	ENST00000561234
ENST00000392102	ENST00000261491	ENST00000568107	ENST00000354506	ENST00000263733
ENST00000199389	ENST00000369888	ENST00000504154	ENST00000252699	ENST00000310144
ENST00000402693	ENST00000615618	ENST00000600100	ENST00000334744	ENST00000590526
ENST00000356208	ENST00000261674	ENST00000319974	ENST00000234453	ENST00000321556
ENST00000442396	ENST00000409587	ENST00000611077	ENST00000309683	ENST00000371544
ENST00000293328	ENST00000395808	ENST00000373954	ENST00000338121	ENST00000586602
ENST00000383811	ENST00000295754	ENST00000325110	ENST00000369577	ENST00000330149
ENST00000412401	ENST00000373912	ENST00000372564	ENST00000611509	ENST00000261534
ENST00000296591	ENST00000272433	ENST00000549578	ENST00000392844	ENST00000377214
ENST00000312637	ENST00000440859	ENST00000331923	ENST00000543251	ENST00000524725
ENST00000613416	ENST00000371696	ENST00000377072	ENST00000418389	ENST00000406134
ENST00000490491	ENST00000396389	ENST00000299608	ENST00000535468	ENST00000245838
ENST00000544117	ENST00000382291	ENST00000380822	ENST00000600536	ENST00000294724
ENST00000291442	ENST00000399820	ENST00000331768	ENST00000263063	ENST00000588981
ENST00000248633	ENST00000253031	ENST00000499247	ENST00000495893	ENST00000266880
ENST00000435765	ENST00000416283	ENST00000481739	ENST00000216237	ENST00000336458
ENST00000371477	ENST00000307658	ENST00000431828	ENST00000324460	ENST00000277540
ENST00000286827	ENST00000454682	ENST00000247191	ENST00000415258	ENST00000292385
ENST00000361937	ENST00000198767	ENST00000263574	ENST00000533211	ENST00000297157
ENST00000614445	ENST00000284719	ENST00000256429	ENST00000310137	ENST00000303088
ENST00000322157	ENST00000262662	ENST00000261600	ENST00000535264	ENST00000306243
ENST00000238146	ENST00000409085	ENST00000031146	ENST00000416614	ENST00000396602
ENST00000373510	ENST00000335749	ENST00000215882	ENST00000551025	ENST00000216807
ENST00000422031	ENST00000382751	ENST00000373600	ENST00000080059	ENST00000266126
ENST00000613434	ENST00000355476	ENST00000245817	ENST00000367467	ENST00000230419
ENST00000370509	ENST00000366812	ENST00000233616	ENST00000428257	ENST00000334163
ENST00000332674	ENST00000216259	ENST00000265960	ENST00000396671	ENST00000354506
ENST00000242839	ENST00000622277	ENST00000317881	ENST00000358746	ENST00000252699
ENST00000585809	ENST00000610401	ENST00000259239	ENST00000373504	ENST00000334744
ENST00000353442	ENST00000255108	ENST00000376440	ENST00000442253	ENST00000309683
ENST00000394166	ENST00000315691	ENST00000366711	ENST00000005286	ENST00000338121
ENST00000396779	ENST00000337827	ENST00000265433	ENST00000357430	ENST00000369577
ENST00000377793	ENST00000371384	ENST00000546361	ENST00000346299	ENST00000611509
ENST00000467963	ENST00000339594	ENST00000346964	ENST00000419867	ENST00000392844
ENST00000422660	ENST00000392102	ENST00000264926	ENST00000310455	ENST00000252029
ENST00000290354	ENST00000199389	ENST00000396200	ENST00000567435	ENST00000543251
ENST00000559199	ENST00000402693	ENST00000282096	ENST00000262030	ENST00000418389
ENST00000309235	ENST00000356208	ENST00000582693	ENST00000334635	ENST00000535468
ENST00000372073	ENST00000442396	ENST00000361203	ENST00000336926	ENST00000600536
ENST00000550600	ENST00000293328	ENST00000415912	ENST00000357006	ENST00000263063
ENST00000359373	ENST00000383811	ENST00000368887	ENST00000465828	ENST00000495893
ENST00000327134	ENST00000412401	ENST00000357654	ENST00000265748	ENST00000216237
ENST00000317578	ENST00000296591	ENST00000538404	ENST00000217159	ENST00000324460
ENST00000377227	ENST00000312637	ENST00000310298	ENST00000379919	ENST00000415258
ENST00000330687	ENST00000613416	ENST00000432059	ENST00000340553	ENST00000533211
ENST00000570319	ENST00000490491	ENST00000343218	ENST00000380639	ENST00000310137
ENST00000297792	ENST00000544117	ENST00000216879	ENST00000371160	ENST00000535264
ENST00000303210	ENST00000291442	ENST00000576778	ENST00000330651	ENST00000416614
ENST00000354582	ENST00000248633	ENST00000254301	ENST00000251691	ENST00000551025
ENST00000406625	ENST00000435765	ENST00000366535	ENST00000240055	ENST00000080059
ENST00000328195	ENST00000371477	ENST00000538255	ENST00000395896	ENST00000428257
ENST00000323482	ENST00000286827	ENST00000395611	ENST00000358365	ENST00000396671
ENST00000291634	ENST00000361937	ENST00000316077	ENST00000382020	ENST00000358746
ENST00000291565	ENST00000614445	ENST00000295887	ENST00000282541	ENST00000373504
ENST00000451682	ENST00000322157	ENST00000367064	ENST00000382142	ENST00000442253
ENST00000229922	ENST00000238146	ENST00000612814	ENST00000355797	ENST00000005286
ENST00000486685	ENST00000373510	ENST00000621189	ENST00000455385	ENST00000304330
ENST00000261483	ENST00000422031	ENST00000269701	ENST00000377069	ENST00000357430
ENST00000319006	ENST00000340042	ENST00000505490	ENST00000415585	ENST00000346299
ENST00000264639	ENST00000613434	ENST00000296233	ENST00000255608	ENST00000419867
ENST00000351217	ENST00000370509	ENST00000370963	ENST00000305997	ENST00000310455
ENST00000267202	ENST00000332674	ENST00000602390	ENST00000554684	ENST00000567435
ENST00000215793	ENST00000242839	ENST00000372699	ENST00000375946	ENST00000262030
ENST00000296921	ENST00000585809	ENST00000460006	ENST00000284274	ENST00000334635
ENST00000205194	ENST00000353442	ENST00000303562	ENST00000398659	ENST00000336926
ENST00000396516	ENST00000394166	ENST00000359595	ENST00000199814	ENST00000465828
ENST00000480687	ENST00000396779	ENST00000301180	ENST00000355683	ENST00000265748
ENST00000300811	ENST00000377793	ENST00000289805	ENST00000315005	ENST00000533655
ENST00000375864	ENST00000467963	ENST00000327671	ENST00000612311	ENST00000217159
ENST00000292524	ENST00000422660	ENST00000371538	ENST00000303434	ENST00000379919
ENST00000307126	ENST00000290354	ENST00000262013	ENST00000372759	ENST00000340553
ENST00000329734	ENST00000559199	ENST00000381033	ENST00000276585	ENST00000380639
ENST00000248121	ENST00000309235	ENST00000274255	ENST00000029410	ENST00000371160
ENST00000368003	ENST00000372073	ENST00000287844	ENST00000371429	ENST00000330651
ENST00000296721	ENST00000550600	ENST00000334983	ENST00000289081	ENST00000251691
ENST00000489671	ENST00000359373	ENST00000380345	ENST00000369485	ENST00000395896
ENST00000504811	ENST00000327134	ENST00000333219	ENST00000361605	ENST00000358365
ENST00000294753	ENST00000317578	ENST00000292363	ENST00000381075	ENST00000382020
ENST00000373281	ENST00000377227	ENST00000335968	ENST00000300574	ENST00000282541
ENST00000396496	ENST00000330687	ENST00000319551	ENST00000306467	ENST00000382142
ENST00000375377	ENST00000570319	ENST00000569795	ENST00000272902	ENST00000355797
ENST00000403714	ENST00000297792	ENST00000378634	ENST00000200135	ENST00000455385
ENST00000372970	ENST00000303210	ENST00000374897	ENST00000272067	ENST00000377069
ENST00000005340	ENST00000354582	ENST00000398864	ENST00000399362	ENST00000415585
ENST00000334955	ENST00000406625	ENST00000399017	ENST00000304222	ENST00000255608
ENST00000435364	ENST00000328195	ENST00000221459	ENST00000392092	ENST00000305997
ENST00000494664	ENST00000323482	ENST00000262067	ENST00000522532	ENST00000246792
ENST00000316738	ENST00000291634	ENST00000622211	ENST00000379066	ENST00000525219
ENST00000404141	ENST00000291565	ENST00000525842	ENST00000348428	ENST00000554684
ENST00000368926	ENST00000451682	ENST00000394065	ENST00000373840	ENST00000375946
ENST00000298912	ENST00000486685	ENST00000237264	ENST00000382093	ENST00000284274
ENST00000301030	ENST00000264639	ENST00000250377	ENST00000361234	ENST00000398659
ENST00000616144	ENST00000261483	ENST00000331573	ENST00000223073	ENST00000199814
ENST00000409257	ENST00000319006	ENST00000259339	ENST00000254325	ENST00000355683
